"location_id","location_type","samplecount"
41159,Linear plot,1
41160,Linear plot,2
41163,"Square plot 5 x 5 m, most habitats",2
41164,"Square plot 5 x 5 m, most habitats",2
41165,"Square plot 5 x 5 m, most habitats",2
42360,"Square plot 5 x 5 m, most habitats",3
42361,"Square plot 5 x 5 m, most habitats",3
42363,"Square plot 5 x 5 m, most habitats",3
42364,Linear plot,3
42367,Linear plot,4
42420,"Square plot 10 x 10 m, woodlands",8
42508,"Square plot 10 x 10 m, woodlands",8
42509,Linear plot,8
43814,"Square plot 5 x 5 m, most habitats",7
43815,Linear plot,7
43823,"Square plot 5 x 5 m, most habitats",18
43824,Linear plot,18
43826,"Square plot 10 x 10 m, woodlands",18
43827,"Square plot 5 x 5 m, most habitats",18
43828,Linear plot,19
43893,Linear plot,8
43894,"Square plot 5 x 5 m, most habitats",8
43895,"Square plot 5 x 5 m, most habitats",8
43896,"Square plot 10 x 10 m, woodlands",8
43897,"Square plot 5 x 5 m, most habitats",8
43904,"Square plot 5 x 5 m, most habitats",8
43905,"Square plot 10 x 10 m, woodlands",8
44069,"Square plot 10 x 10 m, woodlands",4
44070,"Square plot 10 x 10 m, woodlands",3
44071,"Square plot 10 x 10 m, woodlands",3
44072,Linear plot,3
44073,Linear plot,3
44074,"Square plot 5 x 5 m, most habitats",16
44109,Linear plot,1
44128,"Square plot 10 x 10 m, woodlands",4
44141,"Square plot 10 x 10 m, woodlands",1
44195,"Square plot 5 x 5 m, most habitats",11
44196,"Square plot 5 x 5 m, most habitats",10
44197,Linear plot,12
44198,Linear plot,11
44199,"Square plot 5 x 5 m, most habitats",11
44214,"Square plot 5 x 5 m, most habitats",2
44215,"Square plot 10 x 10 m, woodlands",2
44216,Linear plot,2
44217,Linear plot,2
44225,"Square plot 5 x 5 m, most habitats",21
44226,Linear plot,18
44227,"Square plot 10 x 10 m, woodlands",17
44228,"Square plot 5 x 5 m, most habitats",17
44229,Linear plot,16
44263,Linear plot,3
44264,Linear plot,3
44265,Linear plot,3
44266,"Square plot 5 x 5 m, most habitats",3
44267,"Square plot 10 x 10 m, woodlands",3
44268,"Square plot 5 x 5 m, most habitats",15
44269,"Square plot 5 x 5 m, most habitats",15
44271,Linear plot,15
44273,"Square plot 10 x 10 m, woodlands",14
44274,Linear plot,15
44278,Linear plot,13
44279,"Square plot 5 x 5 m, most habitats",13
44281,"Square plot 5 x 5 m, most habitats",13
44283,"Square plot 5 x 5 m, most habitats",12
44284,Linear plot,14
44288,Linear plot,8
44289,Linear plot,8
44290,"Square plot 10 x 10 m, woodlands",8
44291,"Square plot 5 x 5 m, most habitats",8
44292,"Square plot 5 x 5 m, most habitats",8
44294,"Square plot 10 x 10 m, woodlands",7
44300,"Square plot 10 x 10 m, woodlands",5
44301,"Square plot 5 x 5 m, most habitats",3
44303,"Square plot 5 x 5 m, most habitats",5
44309,"Square plot 5 x 5 m, most habitats",15
44312,"Square plot 5 x 5 m, most habitats",16
44314,"Square plot 5 x 5 m, most habitats",16
44323,"Square plot 5 x 5 m, most habitats",16
44379,Linear plot,2
44381,"Square plot 10 x 10 m, woodlands",2
44382,Linear plot,2
44383,"Square plot 5 x 5 m, most habitats",2
44431,"Square plot 10 x 10 m, woodlands",2
44487,Linear plot,2
44569,"Square plot 10 x 10 m, woodlands",2
44570,"Square plot 10 x 10 m, woodlands",1
44571,"Square plot 10 x 10 m, woodlands",2
44572,"Square plot 5 x 5 m, most habitats",2
44573,Linear plot,2
45774,Linear plot,4
45775,Linear plot,4
45776,"Square plot 10 x 10 m, woodlands",4
45867,Linear plot,4
45874,"Square plot 5 x 5 m, most habitats",3
45878,"Square plot 5 x 5 m, most habitats",2
45880,Linear plot,2
45881,Linear plot,2
45884,"Square plot 10 x 10 m, woodlands",3
45885,Linear plot,3
45886,"Square plot 5 x 5 m, most habitats",6
45992,"Square plot 5 x 5 m, most habitats",4
45993,Linear plot,2
45994,"Square plot 10 x 10 m, woodlands",1
45995,"Square plot 5 x 5 m, most habitats",2
45996,Linear plot,2
45997,"Square plot 5 x 5 m, most habitats",1
45998,"Square plot 5 x 5 m, most habitats",1
45999,Linear plot,1
46000,Linear plot,1
46037,Linear plot,4
46038,Linear plot,4
46146,"Square plot 5 x 5 m, most habitats",1
46147,"Square plot 5 x 5 m, most habitats",2
46148,"Square plot 10 x 10 m, woodlands",2
46155,"Square plot 5 x 5 m, most habitats",3
46158,Linear plot,3
46159,"Square plot 5 x 5 m, most habitats",3
46160,Linear plot,3
46161,"Square plot 5 x 5 m, most habitats",1
46169,"Square plot 5 x 5 m, most habitats",2
46171,"Square plot 5 x 5 m, most habitats",2
46173,"Square plot 5 x 5 m, most habitats",13
46174,"Square plot 5 x 5 m, most habitats",2
46175,"Square plot 10 x 10 m, woodlands",13
46176,Linear plot,13
46177,Linear plot,13
46178,"Square plot 5 x 5 m, most habitats",13
46189,"Square plot 10 x 10 m, woodlands",3
46191,Linear plot,18
46194,Linear plot,14
46195,Linear plot,6
46196,Linear plot,6
46197,"Square plot 5 x 5 m, most habitats",14
46200,Linear plot,18
46201,Linear plot,14
46202,Linear plot,18
46208,Linear plot,18
46209,"Square plot 5 x 5 m, most habitats",18
133844,Linear plot,3
133845,Linear plot,3
133846,"Square plot 5 x 5 m, most habitats",3
133847,"Square plot 5 x 5 m, most habitats",3
133848,Linear plot,3
133867,"Square plot 5 x 5 m, most habitats",5
133868,Linear plot,4
133869,"Square plot 10 x 10 m, woodlands",3
133871,"Square plot 10 x 10 m, woodlands",1
133873,"Square plot 10 x 10 m, woodlands",4
133875,"Square plot 5 x 5 m, most habitats",4
133914,Linear plot,4
133969,Linear plot,4
133970,"Square plot 5 x 5 m, most habitats",4
133971,"Square plot 5 x 5 m, most habitats",3
133972,Linear plot,1
133973,Linear plot,1
133975,Linear plot,1
133976,Linear plot,9
133977,"Square plot 5 x 5 m, most habitats",1
133978,"Square plot 5 x 5 m, most habitats",1
133979,"Square plot 5 x 5 m, most habitats",1
133983,Linear plot,3
133991,"Square plot 5 x 5 m, most habitats",15
133992,"Square plot 5 x 5 m, most habitats",15
133993,"Square plot 5 x 5 m, most habitats",14
133994,Linear plot,13
133995,Linear plot,15
133996,Linear plot,16
133998,Linear plot,10
134057,"Square plot 5 x 5 m, most habitats",1
134058,"Square plot 5 x 5 m, most habitats",1
134060,"Square plot 5 x 5 m, most habitats",1
134061,Linear plot,1
134065,"Square plot 5 x 5 m, most habitats",11
134066,"Square plot 5 x 5 m, most habitats",13
134067,"Square plot 5 x 5 m, most habitats",13
134068,"Square plot 10 x 10 m, woodlands",14
134069,Linear plot,12
134112,Linear plot,9
134113,Linear plot,8
134114,"Square plot 10 x 10 m, woodlands",8
134137,"Square plot 10 x 10 m, woodlands",1
134159,Linear plot,1
134160,Linear plot,1
134162,"Square plot 5 x 5 m, most habitats",1
134164,"Square plot 10 x 10 m, woodlands",1
134212,"Square plot 5 x 5 m, most habitats",1
134244,Linear plot,5
134245,"Square plot 5 x 5 m, most habitats",5
134253,"Square plot 5 x 5 m, most habitats",5
134259,"Square plot 5 x 5 m, most habitats",1
