id,survey_id,date_start,location_id,entered_sref,entered_sref_system,created_on,created_by_id,LATITUDE,LONGITUDE,monad,monadCRS,country
3951688,87,27/08/2018,202913,C5538609499,OSIE,20:40.0,155645,54.93000066,-7.135914301,C5509,OSIE,Northern_Ireland
3951687,87,25/05/2018,202913,C5538609499,OSIE,18:43.0,155645,54.93000066,-7.135914301,C5509,OSIE,Northern_Ireland
4000121,87,25/05/2018,202909,C5518309079,OSIE,33:42.0,155645,54.92625038,-7.139161477,C5509,OSIE,Northern_Ireland
4000150,87,27/08/2018,202909,C5518309079,OSIE,53:45.0,155645,54.92625038,-7.139161477,C5509,OSIE,Northern_Ireland
4000165,87,25/05/2018,202910,C5550009500,OSIE,57:04.0,155645,54.92999699,-7.134135818,C5509,OSIE,Northern_Ireland
4000167,87,27/08/2018,202910,C5550009500,OSIE,58:17.0,155645,54.92999699,-7.134135818,C5509,OSIE,Northern_Ireland
4000171,87,25/05/2018,202911,C5550009500,OSIE,01:33.0,155645,54.92999699,-7.134135818,C5509,OSIE,Northern_Ireland
4000173,87,27/08/2018,202911,C5550009500,OSIE,03:18.0,155645,54.92999699,-7.134135818,C5509,OSIE,Northern_Ireland
4000176,87,25/05/2018,202912,C5550009500,OSIE,07:06.0,155645,54.92999699,-7.134135818,C5509,OSIE,Northern_Ireland
4000178,87,27/08/2018,202912,C5550009500,OSIE,08:45.0,155645,54.92999699,-7.134135818,C5509,OSIE,Northern_Ireland
6453647,87,07/08/2019,146622,J2705525833,OSIE,26:56.0,95882,54.16567579,-6.054422923,J2725,OSIE,Northern_Ireland
6731029,87,01/09/2018,193381,J3536268200,OSIE,54:09.0,47527,54.54395329,-5.908066316,J3568,OSIE,Northern_Ireland
6958813,87,26/08/2019,221939,J3533127831,OSIE,11:05.0,228514,54.1815026,-5.926885644,J3527,OSIE,Northern_Ireland
6959657,87,26/08/2019,221971,J3583127831,OSIE,33:38.0,228514,54.18137058,-5.919231824,J3527,OSIE,Northern_Ireland
6959664,87,26/08/2019,221973,J3584227667,OSIE,39:04.0,228514,54.17989513,-5.919137403,J3527,OSIE,Northern_Ireland
6959693,87,26/08/2019,221974,J3583127164,OSIE,46:51.0,228514,54.17538163,-5.919532569,J3527,OSIE,Northern_Ireland
6959704,87,26/08/2019,221975,J3545627219,OSIE,52:24.0,228514,54.17597452,-5.925247374,J3527,OSIE,Northern_Ireland
6959733,87,31/08/2019,221976,J3518228000,OSIE,14:14.0,228514,54.1830593,-5.929090639,J3528,OSIE,Northern_Ireland
6973078,87,16/09/2019,222035,H0851653089,OSIE,56:26.0,169848,54.4262066,-7.868770466,H0853,OSIE,Northern_Ireland
19726403,87,09/07/2021,222034,H0863353204,OSIE,44:06.0,169848,54.42723784,-7.866964288,H0853,OSIE,Northern_Ireland
19727875,87,09/07/2021,222035,H0851653089,OSIE,29:37.0,169848,54.4262066,-7.868770466,H0853,OSIE,Northern_Ireland
6891616,87,10/10/2019,219416,J1512146800,OSIE,00:25.0,1,54.35678188,-6.229011392,J1546,OSIE,Northern_Ireland
3547380,87,17/05/2018,197351,J4586895360,OSIE,49:39.0,1,54.78485705,-5.732291078,J4595,OSIE,Northern_Ireland
23075369,87,13/06/2023,325657,D1220837164,OSIE,14:31.0,351069,55.16888382,-6.238908906,D1237,OSIE,Northern_Ireland
24224009,87,07/09/2023,325657,D1220837164,OSIE,37:38.0,351069,55.16888382,-6.238908906,D1237,OSIE,Northern_Ireland
